id,name,iso639P3code,latitude,longitude,family_id,country_ids
erok1237,Yarikman,erw,-2.83746,132.705,aust1307,ID
faiw1243,Faiwol,fai,-5.4967,141.656,nucl1709,ID PG
fayu1238,Fayu,fau,-3.14497,136.867,lake1255,ID
foau1240,Abawiri,flh,-3.04582,139.213,lake1255,ID
ford1242,Fordata,frd,-7.28902,131.511,aust1307,ID
gale1259,Galela,gbi,2.31461,128.44,nort2923,ID
galo1243,Galoli-Talur,gal,-8.61074,125.959,aust1307,ID TL
gamk1238,Gamkonora,gak,1.34308,127.506,nort2923,ID
gane1237,Gane,gzn,-0.42618,127.976,aust1307,ID
gayo1244,Gayo,gay,4.3733,97.3456,aust1307,ID
gebe1237,Gebe,gei,-0.07877,129.424,aust1307,ID
gese1240,Geser-Gorom,ges,-3.8016,130.701,aust1307,ID
gora1261,Gorap,goq,2.13058,128.261,aust1307,ID
goro1259,Gorontalo,gor,0.62689,122.288,aust1307,ID
gres1240,Gresi,grs,-2.72229,140.279,nimb1257,ID
haji1235,Haji,hji,-5.07781,104.714,aust1307,ID
hama1240,Hamap,hmu,-8.26749,124.522,timo1261,ID
haru1244,Haruku,hrk,-3.57029,128.476,aust1307,ID
hata1243,Hatam,had,-1.13531,134.037,hata1242,ID
helo1243,Helong,heg,-10.2647,123.377,aust1307,ID
high1275,Highland Konjo,kjk,-5.26559,119.928,aust1307,ID
hitu1239,Hitu,htu,-3.57478,128.186,aust1307,ID
horu1241,Horuru,hrr,-3.12875,129.387,book1242,ID
hoti1237,Hoti of East Seram,hti,-3.0083,130.168,aust1307,ID
hovo1239,Hobongan,hov,0.9841,113.897,aust1307,ID
huau1237,Huaulu,hud,-2.95835,129.202,aust1307,ID
huku1237,Hukumina,huw,-3.274,126.194,aust1307,ID
hulu1246,Hulung,huk,-2.87389,128.587,aust1307,ID
hupl1238,Hupla,hap,-4.36349,139.164,nucl1709,ID
iauu1242,Iau,tmu,-3.14537,137.69,lake1255,ID
iban1264,Iban,iba,2.09041,112.934,aust1307,BN ID MY
ibuu1240,Ibu,ibu,1.50556,127.542,nort2923,ID
ihaa1241,Iha,ihp,-2.81013,132.271,west2604,ID
ihab1241,Iha-based Pidgin,ihb,-2.935,132.294,pidg1258,ID
ilea1237,Ile Ape,ila,-8.38636,123.442,aust1307,ID
iliu1237,Ili'uun,ilu,-7.84385,125.902,aust1307,ID
imro1237,Imroing,imr,-7.96772,129.651,aust1307,ID
indo1291,Jakartan Sign Language,inl,-7.908,112.378,sign1238,ID
indo1316,Standard Indonesian,ind,-7.33458,109.716,aust1307,ID NL PH SA SG US
indo1317,Indonesian Bajau,bdl,-3.68664,122.253,aust1307,ID
irar1238,Irarutu,irh,-2.94438,133.586,aust1307,ID
ires1239,Yerisiam,ire,-3.62803,135.025,aust1307,ID
isir1237,Isirawa,srl,-1.88775,138.595,kwer1242,ID
isya1234,Isyarat Lama Asli Bali,,-8.54133,115.32536,sign1238,ID
isya1235,Isyarat Lama Cicendo,,-6.91094,107.60412,sign1238,ID
itik1240,Itik,itx,-2.18342,139.341,toro1256,ID
iwur1240,Morop-Dintere,iwo,-5.11036,140.823,nucl1709,ID
jair1235,Kia River Awyu,awv,-6.79732,140.104,nucl1709,ID
jamb1236,Jambi Malay,jax,-2.6469,103.13,aust1307,ID
jang1257,Jangkang,djo,0.29738,110.647,aust1307,ID
java1254,Javanese,jav,-7.001,109.287,aust1307,ID MY
javi1237,Javindo,jvd,-7.032902,110.419809,indo1319,ID
jofo1235,Jofotek-Bromnya,jbr,-2.2478,139.2969,toro1256,ID
kabo1247,Kabola,klz,-8.17316,124.539,timo1261,ID
kabu1249,Kaburi,uka,-1.92547,132.528,sout3418,ID
kada1286,Kadai,kzd,-1.74547,125.142,aust1307,ID
kaer1234,Kaera,jka,-8.3287,124.0177,timo1261,ID
kafo1240,Kafoa,kpu,-8.36572,124.446,timo1261,ID
kaib1244,Kaibobo,kzb,-3.1603,128.211,aust1307,ID
kaid1239,Kaidipang,kzp,0.85641,123.217,aust1307,ID
kaim1241,Kaimbulawa,zka,-5.65447,122.538,aust1307,ID
kais1235,Kais,kzm,-1.78077,132.312,sout3418,ID
kaiy1239,Kaiy,tcq,-2.94448,138.161,lake1255,ID
kala1256,Kalabra,kzz,-1.43074,131.617,west1493,ID
kala1394,Kalao,kly,-7.31213,120.995,aust1307,ID
kalu1247,Kalumpang,kli,-2.33388,119.474,aust1307,ID
kama1362,Kamarian,kzx,-3.40779,128.526,aust1307,ID
kama1364,Kamaru,kgx,-5.15696,123.045,aust1307,ID
kama1365,Kamang,woi,-8.26897,124.792,timo1261,ID
kamb1299,Kambera,xbr,-9.88447,120.235,aust1307,ID
kamb1302,North Kamrau,irx,-3.53189,133.518,nucl1709,ID
kamo1255,Kamoro,kgq,-4.30433,135.883,nucl1709,ID
kang1289,Kangean,kkv,-7.98335,112.968,aust1307,ID
kaoo1238,Kao,kax,1.16654,127.847,nort2923,ID
kapo1250,Kapori,khp,-3.52696,139.766,,ID
kapt1235,Kaptiau,kbi,-2.388426,139.795818,aust1307,ID
kara1499,Kalamang,kgv,-3.47037,132.678,west2604,ID
kare1339,Karey,kyd,-6.74181,134.375,aust1307,ID
karo1303,Karon Dori,kgw,-0.7871,132.663,mayb1237,ID
kaur1269,Kaur,vkk,-4.6251,103.512,aust1307,ID
kaur1271,Kaure-Narau,bpp,-3.39188,140.14,kaur1274,ID
kauw1242,Kauwera,xau,-2.22799,138.157,kwer1242,ID
kawe1240,Kawe,kgb,-0.17313,130.327,aust1307,ID
kawi1241,Kawi,kaw,-7.0,111.0,aust1307,ID
kaya1324,Kayan Mahakam,xay,0.91787,114.452,aust1307,ID
kaya1325,Kayan River Kayan,xkn,1.78269,115.827,aust1307,ID
kaya1328,Kayagar,kyt,-6.37677,138.932,kaya1327,ID
kaye1241,Kayeli,kzl,-3.39247,127.118,aust1307,ID
kayu1243,Kayupulau,kzu,-2.54455,140.72068,aust1307,ID
keda1252,Kedang,ksx,-8.23039,123.77,aust1307,ID
kede1239,Keder,kdy,-2.03589,139.081,toro1256,ID
kehu1238,Kehu,khh,-3.19328,136.14,,ID
keii1239,Kei,kei,-5.63948,133.02,aust1307,ID
kela1258,Kelabit,kzi,3.31783,115.428,aust1307,BN ID MY
kelo1247,Klon,kyo,-8.40688,124.429,timo1261,ID
kema1243,Kemak,kem,-9.00299,125.159,aust1307,ID TL
kemb1235,Kemberano,bzp,-2.24495,132.988,sout3418,ID
kemb1249,Mateq,xem,0.66181,110.468,aust1307,ID MY
kemb1250,Kembra,xkw,-3.89065,140.434,lepk1239,ID
kemt1242,Kemtuik,kmt,-2.64894,140.372,nimb1257,ID
kend1254,Kendayan-Belangin,knx,1.47957,109.467,aust1307,ID MY
keni1248,Keninjal,knl,-0.63184,111.808,aust1307,ID
keoo1238,Kéo,xxk,-8.8704,121.256,aust1307,ID
kepo1237,Kepo',kuk,-8.603241,120.775273,aust1307,ID
kere1285,Kereho,xke,0.64649,113.644,aust1307,ID
keri1250,Kerinci,kvr,-1.93668,101.403,aust1307,ID
kete1254,Ketengban,xte,-4.50417,140.443,nucl1709,ID
ketu1238,Ketum,ktt,-5.34647,140.604,nucl1709,ID
kima1246,Kimaama,kig,-8.01899,138.355,kolo1268,ID
kimk1238,Kimki,sbt,-4.2742,140.884,,ID
kiok1239,Kioko,ues,-4.99012,122.951,aust1307,ID
kiri1256,Kirikiri,kiy,-3.18494,137.282,lake1255,ID
kisa1266,Kisar,kje,-8.05122,127.18,aust1307,ID
koba1240,Koba,kpd,-6.47901,134.61,aust1307,ID
kode1237,Kodeoha,vko,-3.39566,120.937,aust1307,ID
kodi1247,Kodi,kod,-9.6373,119.114,aust1307,ID
kofe1239,Kofei,kpi,-2.414345,136.813619,geel1240,ID
kohi1250,Kohin,kkx,-1.43973,111.905,aust1307,ID
koke1241,Kokenop Mandobo,,-5.551923,140.598971,nucl1709,ID
koko1265,Kokoda,xod,-2.12872,132.449,sout3418,ID
kola1285,Kola,kvv,-5.48833,134.592,aust1307,ID
kolo1266,Kolo,,-8.3727,118.7209,aust1307,ID
komb1274,Kombai,tyn,-5.54543,139.902,nucl1709,ID
kome1238,Komering,kge,-3.79215,105.107,aust1307,ID
komo1261,Komodo,kvh,-8.64518,119.477,aust1307,ID
komp1237,Kompane,kvp,-5.64348,134.742,aust1307,ID
komy1238,Komyandaret,kzv,-5.25453,140.213,nucl1709,ID
kond1303,Yaben (Konda),knd,-1.82635,132.06,kond1302,ID
kone1241,Koneraw,kdw,-8.37424,138.0675,momb1255,ID
kopk1238,Kopkaka,opk,-4.91191,139.926,nucl1709,ID
kora1298,Korapun-Bromley,,-4.535733,139.680215,nucl1709,ID
koro1311,Koroni,xkq,-2.6367,121.977,aust1307,ID
koro1312,Korowai,khe,-5.26952,140.047,nucl1709,ID
koru1245,Korupun-Sela,kpq,-4.53497,139.678,nucl1709,ID
kosa1249,Kosarek Yale,kkl,-4.06603,139.645,nucl1709,ID
kosa1251,Kosadle,kiq,-3.78748,140.197,kaur1274,ID
kota1275,Kota Bangun Kutai Malay,mqg,-0.27049,116.297,aust1307,ID
kowi1239,Kowiai,kwh,-4.21954,133.468,aust1307,ID
kubu1239,Kubu,kvb,-2.42661,102.193,aust1307,ID
kuii1253,Kui (Indonesia),kvd,-8.38204,124.791,timo1261,ID
kula1280,Kula (Indonesia),tpg,-8.2384,125.004,timo1261,ID
kuli1254,Kulisusu,vkl,-4.58411,123.045,aust1307,ID
kumb1274,Kumbewaha,xks,-5.34485,123.154,aust1307,ID
kupa1239,Kupang Malay,mkn,-10.2526,123.63,aust1307,ID
kuri1260,Nabi,nbn,-2.80683,134.098,aust1307,ID
kurr1245,Kur,kuv,-5.34077,131.986,aust1307,ID
kuru1305,Kurudu,kjr,-1.8444,137.018,aust1307,ID
kwer1263,Kwerba Mamberamo,xwr,-2.56457,138.436,kwer1242,ID
kwer1264,Kwerisa,kkb,-2.99145,138.135,lake1255,ID
kwer1265,Kwer,kwr,-5.02008,140.012,nucl1709,ID
kwes1245,Kwesten,kwt,-2.03622,138.853,toro1256,ID
kwin1242,Kwinsu,kuc,-2.3038,139.5137,toro1256,ID
laba1241,Laba,lau,1.66675,127.583,book1242,ID
laha1251,Laha (Indonesia),lhh,-3.70755,128.073,aust1307,ID
laiy1246,Laiyolo,lji,-6.45512,120.483,aust1307,ID
lama1277,Lamaholot,slp,-8.36439,122.803,aust1307,ID
lama1278,Peripheral Lembata,lmr,-8.53225,123.442,aust1307,ID
lama1279,Lamatuka,lmq,-8.39374,123.586,aust1307,ID
lamb1273,Lamboya,lmy,-9.70434,119.344,aust1307,ID
lamm1241,Western Pantar,lev,-8.52787,124.057,timo1261,ID
lamp1242,Lampung Nyo,abl,-4.43957,105.397,aust1307,ID
lamp1243,Lampung Api,ljp,-5.73463,105.037,aust1307,ID
lara1260,Larantuka Malay,lrt,-8.4746,122.7619,aust1307,ID
lari1255,Larike-Wakasihu,alo,-3.76522,127.956,aust1307,ID
lasa1237,Lasalimu,llm,-5.23602,123.129,aust1307,ID
lata1235,Latala,,2.85,117.1,uncl1493,ID
latu1237,Latu,ltu,-3.41302,128.667,aust1307,ID
lauj1238,Lauje,law,0.50708,120.262,aust1307,ID
lawa1257,Lawangan,lbx,-1.80261,115.876,aust1307,ID
ledo1238,Ledo Kaili,lew,-1.03033,120.132,aust1307,ID
lege1241,Legenyem,lcc,-0.3592,130.749,aust1307,ID
lemo1243,Lemolang,ley,-2.63313,120.27,aust1307,ID
leng1260,Lengilu,lgi,3.69641,115.91,aust1307,ID
lepk1238,Lepki,lpe,-4.1059,140.464,lepk1239,ID
leti1246,Leti (Indonesia),lti,-8.19808,127.674,aust1307,ID
levu1239,Central Lembata-Lewokukun,lvu,-8.47094,123.44,aust1307,ID
lewo1243,Lewo Eleng,lwe,-8.35741,123.652,aust1307,ID
lewo1244,Lewotobi,lwt,-8.54573,122.747,aust1307,ID
liab1237,Liabuku,lix,-5.32268,122.699,aust1307,ID
lian1255,Liana-Seti,ste,-3.11832,129.899,aust1307,ID
liki1241,Liki,lio,-1.60652,138.731,aust1307,ID
lind1248,Tado-Lindu,klw,-1.35748,120.063,aust1307,ID
lioo1240,Li'o,ljl,-8.68615,121.832,aust1307,ID
lisa1239,Lisabata-Nuniali,lcs,-2.87434,128.265,aust1307,ID
lise1239,Lisela,lcl,-3.27358,126.981,aust1307,ID
lola1248,Lola,lcd,-6.34188,134.879,aust1307,ID
lola1250,Lolak,llq,0.85544,124.117,aust1307,ID
lole1239,Lole,llg,-10.8069,123.085,aust1307,ID
lolo1264,Loloda-Laba,loa,1.95461,127.772,nort2923,ID
lonc1237,Loncong,lce,-0.02586,103.548,aust1307,ID
lora1237,Lorang,lrn,-6.30338,134.41,aust1307,ID
loun1239,Loun,lox,-2.8778,128.912,aust1307,ID
lowe1415,Lower Grand Valley Dani,dni,-4.25684,138.992,nucl1709,ID
luan1263,Luang,lex,-8.18378,127.944,aust1307,ID
lubu1241,Lubu,lcf,0.63989,99.74549,aust1307,ID
luhu1243,Luhu-Piru,lcq,-3.13187,127.966,aust1307,ID
