nama	kelas	n_pemakai	homograf_kbbi
Lubis	orang:nama-keluarga	9	tidak
Devi	orang:nama-depan	8	tidak
Ferdinand	orang:nama-depan	8	tidak
Joshua	orang:nama-depan	8	tidak
S.	orang:nama-depan	8	tidak
Ignatius	orang:nama-depan	8	tidak
Tan	orang:nama-depan	8	ya
Arnold	orang:nama-depan	8	tidak
Fuad	orang:nama-depan	8	ya
Ruben	orang:nama-depan	8	tidak
Wahyu	orang:nama-depan	8	ya
Theodorus	orang:nama-depan	8	tidak
Ismail	orang:nama-depan	8	tidak
Elias	orang:nama-depan	8	tidak
Alwi	orang:nama-depan	8	tidak
Ken	orang:nama-depan	8	ya
Malik	orang:nama-depan	8	ya
Max	orang:nama-depan	8	tidak
Gregorius	orang:nama-depan	8	tidak
Calvin	orang:nama-depan	8	tidak
Clara	orang:nama-depan	8	tidak
Nina	orang:nama-depan	8	tidak
Angelina	orang:nama-depan	8	tidak
Veronica	orang:nama-depan	8	tidak
Martha	orang:nama-depan	8	tidak
Evi	orang:nama-depan	8	tidak
Bryan	orang:nama-depan	8	tidak
Jasmine	orang:nama-depan	8	tidak
Zahra	orang:nama-depan	8	tidak
Lie	orang:nama-keluarga	8	tidak
Ahmad	orang:nama-keluarga	8	tidak
Rachman	orang:nama-keluarga	8	tidak
Akbar	orang:nama-keluarga	8	ya
Ramadhani	orang:nama-keluarga	8	tidak
Rahayu	orang:nama-keluarga	8	ya
Da Silva	orang:nama-keluarga	8	tidak
Day	orang:nama-keluarga	8	tidak
Christopher	orang:nama-depan	7	tidak
Dede	orang:nama-depan	7	tidak
Ruth	orang:nama-depan	7	tidak
Sigit	orang:nama-depan	7	tidak
Eliza	orang:nama-depan	7	tidak
Della	orang:nama-depan	7	tidak
Debby	orang:nama-depan	7	tidak
Ellen	orang:nama-depan	7	tidak
Irfan	orang:nama-depan	7	tidak
Febby	orang:nama-depan	7	tidak
Agustinus	orang:nama-depan	7	tidak
Nova	orang:nama-depan	7	ya
Chris	orang:nama-depan	7	tidak
Bagus	orang:nama-depan	7	ya
Bob	orang:nama-depan	7	tidak
Lily	orang:nama-depan	7	tidak
Alfred	orang:nama-depan	7	tidak
Cornelis	orang:nama-depan	7	tidak
Irene	orang:nama-depan	7	tidak
Jack	orang:nama-depan	7	tidak
Jennifer	orang:nama-depan	7	tidak
Nana	orang:nama-depan	7	tidak
Alexandra	orang:nama-depan	7	tidak
Ali	orang:nama-depan	7	ya
Magdalena	orang:nama-depan	7	tidak
Didi	orang:nama-depan	7	tidak
Heri	orang:nama-depan	7	tidak
Andrea	orang:nama-depan	7	tidak
Ridwan	orang:nama-depan	7	tidak
Ricardo	orang:nama-depan	7	tidak
Rico	orang:nama-depan	7	tidak
Brian	orang:nama-depan	7	tidak
Dimas	orang:nama-depan	7	tidak
Otto	orang:nama-depan	7	tidak
Yusuf	orang:nama-depan	7	tidak
Hamid	orang:nama-depan	7	tidak
Julian	orang:nama-depan	7	tidak
Sonia	orang:nama-depan	7	tidak
Stephanie	orang:nama-depan	7	tidak
Randy	orang:nama-depan	7	tidak
Valentino	orang:nama-depan	7	tidak
Elsa	orang:nama-depan	7	tidak
Arif	orang:nama-depan	7	ya
Willem	orang:nama-depan	7	tidak
Christy	orang:nama-depan	7	tidak
Silvia	orang:nama-depan	7	tidak
Frits	orang:nama-depan	7	tidak
Jesslyn	orang:nama-depan	7	tidak
Selvie	orang:nama-depan	7	tidak
Betty	orang:nama-depan	7	tidak
Pratama	orang:nama-keluarga	7	tidak
Yusuf	orang:nama-keluarga	7	tidak
Sutrisna	orang:nama-keluarga	7	tidak
Sinaga	orang:nama-keluarga	7	tidak
Slamet	orang:nama-keluarga	7	tidak
Kairupan	orang:nama-keluarga	7	tidak
Zein	orang:nama-keluarga	7	tidak
Thomas	orang:nama-keluarga	7	tidak
Lapian	orang:nama-keluarga	7	tidak
Marten	orang:nama-keluarga	7	tidak
Pasaribu	orang:nama-keluarga	7	tidak
Li	orang:nama-keluarga	7	tidak
Laoh	orang:nama-keluarga	7	tidak
Hasan	orang:nama-keluarga	7	ya
Leo	orang:nama-keluarga	7	ya
Mintaredja	orang:nama-keluarga	7	tidak
Senduk	orang:nama-keluarga	7	ya
Zuber	orang:nama-keluarga	7	tidak
Stephen	orang:nama-depan	6	tidak
Darius	orang:nama-depan	6	tidak
Donald	orang:nama-depan	6	ya
Rian	orang:nama-depan	6	ya
Monica	orang:nama-depan	6	tidak
Fauzi	orang:nama-depan	6	tidak
Tri	orang:nama-depan	6	tidak
Anneke	orang:nama-depan	6	tidak
Imelda	orang:nama-depan	6	tidak
Adolf	orang:nama-depan	6	tidak
Albertus	orang:nama-depan	6	tidak
Petrus	orang:nama-depan	6	tidak
Christine	orang:nama-depan	6	tidak
Frida	orang:nama-depan	6	tidak
Gabriel	orang:nama-depan	6	tidak
Husein	orang:nama-depan	6	tidak
Josef	orang:nama-depan	6	tidak
Abd al-Qadir	orang:nama-depan	6	tidak
Glenn	orang:nama-depan	6	tidak
Angel	orang:nama-depan	6	ya
Abdi	orang:nama-depan	6	ya
Adelia	orang:nama-depan	6	tidak
Agustin	orang:nama-depan	6	tidak
Alvin	orang:nama-depan	6	tidak
Juliana	orang:nama-depan	6	tidak
Marcella	orang:nama-depan	6	tidak
Andrew	orang:nama-depan	6	tidak
Angelica	orang:nama-depan	6	tidak
Annie	orang:nama-depan	6	tidak
H.	orang:nama-depan	6	tidak
Nico	orang:nama-depan	6	tidak
Marsha	orang:nama-depan	6	tidak
Marwan	orang:nama-depan	6	tidak
Muslim	orang:nama-depan	6	ya
Rahma	orang:nama-depan	6	tidak
Sam	orang:nama-depan	6	tidak
I.	orang:nama-depan	6	tidak
Vania	orang:nama-depan	6	tidak
Evan	orang:nama-depan	6	tidak
Yahya	orang:nama-depan	6	tidak
Jeanne	orang:nama-depan	6	tidak
Adjie	orang:nama-depan	6	tidak
Felix	orang:nama-depan	6	tidak
Z.	orang:nama-depan	6	tidak
Gilbert	orang:nama-depan	6	tidak
Ikbal	orang:nama-depan	6	tidak
Ella	orang:nama-depan	6	tidak
Wibowo	orang:nama-keluarga	6	tidak
Oktavianti	orang:nama-keluarga	6	tidak
Martini	orang:nama-keluarga	6	ya
Abdullah	orang:nama-keluarga	6	tidak
Halim	orang:nama-keluarga	6	ya
Hermawan	orang:nama-keluarga	6	tidak
Monoarfa	orang:nama-keluarga	6	tidak
Lestari	orang:nama-keluarga	6	ya
Budi	orang:nama-depan	5	ya
Salim	orang:nama-depan	5	ya
Agnes	orang:nama-depan	5	tidak
Basuki	orang:nama-depan	5	tidak
Lucia	orang:nama-depan	5	tidak
Mustafa	orang:nama-depan	5	tidak
Julius	orang:nama-depan	5	tidak
Ananda	orang:nama-depan	5	ya
Christina	orang:nama-depan	5	tidak
Angga	orang:nama-depan	5	ya
D.	orang:nama-depan	5	tidak
Rudolf	orang:nama-depan	5	tidak
Joe	orang:nama-depan	5	tidak
Melati	orang:nama-depan	5	ya
Mike	orang:nama-depan	5	tidak
Erik	orang:nama-depan	5	ya
Erna	orang:nama-depan	5	tidak
Felicia	orang:nama-depan	5	tidak
Bella	orang:nama-depan	5	tidak
Citra	orang:nama-depan	5	ya
Dea	orang:nama-depan	5	tidak
Kartika	orang:nama-depan	5	ya
Jamal	orang:nama-depan	5	ya
Abubakar	orang:nama-depan	5	tidak
Adnan	orang:nama-depan	5	ya
Alya	orang:nama-depan	5	tidak
Julia	orang:nama-depan	5	tidak
Karel	orang:nama-depan	5	ya
Lia	orang:nama-depan	5	tidak
Liza	orang:nama-depan	5	tidak
Lucky	orang:nama-depan	5	tidak
Marisa	orang:nama-depan	5	tidak
F.	orang:nama-depan	5	tidak
