token	kelas	kbbi_pos	kbbi_semantic_class
liman	orang:nama-keluarga	Nomina	
limas	organisasi:perusahaan	Nomina	
limau	wilayah:kecamatan		
limbur	wilayah:kecamatan	Verba	
limpung	wilayah:kecamatan	Nomina	
limun	wilayah:kecamatan	Nomina	
lin	orang:nama-depan,orang:nama-keluarga	Nomina	
lindu	wilayah:kecamatan	Nomina	
ling	orang:nama-depan	Nomina	
lingga	orang:nama-depan,wilayah:kabupaten-kota,wilayah:kecamatan		
lingkar	organisasi:perusahaan	Nomina	
lini	organisasi:perusahaan	Nomina	
lintang	orang:nama-keluarga,wilayah:kecamatan	Nomina	
lintas	organisasi:perusahaan,wilayah:kecamatan	Nomina	
lio	wilayah:kecamatan		
liong	orang:nama-depan		
lirik	wilayah:kecamatan	Verba	
listrik	organisasi:perusahaan	Nomina	
loban	wilayah:kecamatan	Nomina	
logistik	organisasi:perusahaan	Nomina	
lok	orang:nama-depan	Nomina	
lolak	wilayah:kecamatan	Nomina	
lolong	wilayah:kecamatan	Nomina	
lombok	wilayah:kabupaten-kota	Nomina	
long	wilayah:kecamatan	Nomina	
lontar	organisasi:perusahaan	Verba	
luak	wilayah:kecamatan	Adjektiva	
luang	wilayah:kecamatan	Adjektiva	
luar	wilayah:kecamatan	Nomina	
luas	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
lubuk	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
lues	wilayah:kabupaten-kota	Nomina	
luhak	wilayah:kecamatan		
luhur	organisasi:perusahaan	Adjektiva	
luluk	orang:nama-depan	Nomina	
lumajang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
lumar	wilayah:kecamatan	Verba	
lumbung	wilayah:kecamatan	Nomina	
lumut	wilayah:kecamatan	Nomina	
lungkang	wilayah:kecamatan	Nomina	
lurah	wilayah:kecamatan	Nomina	
luwu	wilayah:kabupaten-kota	Nomina	proper
macang	wilayah:kecamatan		
madang	wilayah:kecamatan	Adjektiva	
madani	organisasi:perusahaan,wilayah:kecamatan		
madat	wilayah:kecamatan	Nomina	
madiun	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
madu	organisasi:perusahaan		
madukara	wilayah:kecamatan	Nomina	
maesan	wilayah:kecamatan		
magelang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
magersari	wilayah:kecamatan	Nomina	
magetan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
maha	organisasi:perusahaan	Adjektiva	abstract
mahadewi	orang:nama-depan	Nomina	
maharani	orang:nama-depan	Nomina	
mahardika	orang:nama-depan	Adjektiva	
mahbub	orang:nama-depan		
mahdi	orang:nama-depan	Nomina	
maheswara	organisasi:perusahaan	Nomina	
mahfuz	orang:nama-keluarga	Nomina	
mahkota	organisasi:perusahaan	Nomina	
mahmud	orang:nama-depan	Nomina	
maimun	orang:nama-depan,wilayah:kecamatan	Adjektiva	
maja	wilayah:kecamatan	Nomina	
majalengka	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
majene	wilayah:kabupaten-kota	Nomina	proper
maju	organisasi:perusahaan	Verba	
makasar	wilayah:kecamatan	Nomina	proper
makassar	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
makian	wilayah:kecamatan		
makin	organisasi:perusahaan	Adverbia	
makmur	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
malai	wilayah:kecamatan	Nomina	
malaka	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
malan	wilayah:kecamatan	Adjektiva	
malang	organisasi:perusahaan,wilayah:kabupaten-kota	Adjektiva	
malik	orang:nama-depan,orang:nama-keluarga	Nomina	
malin	wilayah:kecamatan		
malinau	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
mam	wilayah:kecamatan	Nomina	
mamasa	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
mampang	wilayah:kecamatan	Nomina	proper
mamuju	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
man	orang:nama-depan	Nomina	
manado	wilayah:kabupaten-kota	Nomina	proper
manajemen	organisasi:perusahaan	Nomina	
manau	wilayah:kecamatan	Nomina	
mancur	organisasi:perusahaan		
mandah	wilayah:kecamatan	Nomina	
mandai	wilayah:kecamatan	Nomina	
mandala	organisasi:perusahaan		
mandar	wilayah:kabupaten-kota	Nomina	proper
mandau	wilayah:kecamatan	Nomina	
mandi	wilayah:kecamatan	Verba	
mandiri	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
mandor	wilayah:kecamatan	Nomina	
manggala	organisasi:perusahaan,wilayah:kecamatan	Nomina	
manggar	wilayah:kecamatan	Nomina	
manggarai	wilayah:kabupaten-kota	Nomina	proper
manggis	wilayah:kecamatan		
mangkubumi	wilayah:kecamatan	Nomina	
manis	wilayah:kecamatan	Adjektiva	
manokwari	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
mantik	orang:nama-keluarga	Nomina	
mantrijeron	wilayah:kecamatan	Nomina	proper
manunggal	organisasi:perusahaan	Verba	
manyar	wilayah:kecamatan		
map	organisasi:perusahaan	Nomina	
mappi	wilayah:kabupaten-kota	Nomina	proper
mara	orang:nama-depan	Nomina	
maraja	wilayah:kecamatan	Nomina	
maras	wilayah:kecamatan	Adjektiva	
mare	wilayah:kecamatan	Nomina	
marga	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
mari	orang:nama-depan	Partikel	
maria	orang:nama-depan	Nomina	
marina	orang:nama-depan,organisasi:perusahaan	Nomina	
marine	organisasi:perusahaan	Adjektiva	
maritim	organisasi:perusahaan	Adjektiva	
mark	orang:nama-depan,organisasi:perusahaan		
markis	orang:nama-depan	Nomina	
maro	wilayah:kecamatan	Nomina	
maros	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
martini	orang:nama-keluarga	Nomina	
maru	wilayah:kecamatan	Nomina	
marwah	orang:nama-keluarga		
mas	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan		
masa	wilayah:kecamatan	Nomina	
maskapai	organisasi:perusahaan	Nomina	
masohi	wilayah:kecamatan	Nomina	
mata	wilayah:kecamatan	Nomina	
matahari	organisasi:perusahaan	Nomina	
matan	wilayah:kecamatan	Nomina	
mataram	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
mate	organisasi:perusahaan	Nomina	
mati	wilayah:kecamatan		
matraman	wilayah:kecamatan	Nomina	proper
matur	wilayah:kecamatan		
maulana	orang:nama-depan,orang:nama-keluarga	Nomina	
maulid	orang:nama-keluarga	Nomina	
maya	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Nomina	proper
mayang	orang:nama-keluarga,wilayah:kecamatan	Nomina	locus
mayapada	organisasi:perusahaan	Nomina	
maybrat	wilayah:kabupaten-kota	Nomina	proper
mazi	orang:nama-keluarga	Nomina	
medan	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
medang	wilayah:kecamatan	Nomina	
media	organisasi:perusahaan	Nomina	
mega	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
megah	orang:nama-depan,organisasi:perusahaan	Adjektiva	
megan	orang:nama-depan	Nomina	
mei	orang:nama-depan,orang:nama-keluarga	Nomina	tempo
mekar	organisasi:perusahaan,wilayah:kecamatan	Verba	
melati	orang:nama-depan,orang:nama-keluarga		
melawan	wilayah:kecamatan	Verba	
melayu	wilayah:kecamatan	Nomina	proper
melintang	wilayah:kecamatan	Verba	
memo	orang:nama-keluarga	Nomina	
mempawah	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
menang	wilayah:kecamatan	Verba	
menara	organisasi:perusahaan	Nomina	
menggala	wilayah:kecamatan	Verba	
menggaris	wilayah:kecamatan	Verba	
mengkuang	wilayah:kecamatan		
mengkudu	wilayah:kecamatan	Nomina	
menjalin	wilayah:kecamatan	Verba	
menjangan	organisasi:perusahaan	Nomina	
mentari	orang:nama-keluarga	Nomina	
menteng	organisasi:perusahaan,wilayah:kecamatan	Nomina	
mentok	wilayah:kecamatan	Verba	
merah	wilayah:kecamatan	Nomina	
merangin	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
meranti	wilayah:kabupaten-kota,wilayah:kecamatan		
merauke	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
merawan	wilayah:kecamatan	Nomina	
merbau	wilayah:kecamatan	Nomina	
merdeka	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
merek	wilayah:kecamatan	Nomina	
mergangsan	wilayah:kecamatan	Nomina	proper
meriah	wilayah:kabupaten-kota,wilayah:kecamatan		
mering	orang:nama-keluarga		
merpati	organisasi:perusahaan	Nomina	
merta	orang:nama-keluarga		
mes	wilayah:kecamatan	Nomina	
mesjid	wilayah:kecamatan		
mestika	organisasi:perusahaan	Nomina	
mesuji	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
meta	organisasi:perusahaan	Verba	
metal	organisasi:perusahaan	Nomina	
metro	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
metropolitan	organisasi:perusahaan	Nomina	
mijen	wilayah:kecamatan	Nomina	proper
mimi	orang:nama-depan	Nomina	
mimika	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
mina	orang:nama-depan,organisasi:perusahaan	Nomina	locus
minahasa	organisasi:perusahaan,wilayah:kabupaten-kota	Nomina	proper
mineral	organisasi:perusahaan	Nomina	
minggir	wilayah:kecamatan	Verba	
minggu	wilayah:kecamatan	Nomina	tempo
minta	orang:nama-depan	Verba	
minum	organisasi:perusahaan	Verba	
miring	wilayah:kecamatan	Adjektiva	
mitra	organisasi:perusahaan	Nomina	
mlati	wilayah:kecamatan	Nomina	locus
mobil	organisasi:perusahaan	Nomina	
modern	organisasi:perusahaan	Adjektiva	
moga	wilayah:kecamatan	Adverbia	
mojokerto	wilayah:kabupaten-kota	Nomina	proper
monolit	organisasi:perusahaan	Nomina	
montenegro	orang:nama-keluarga	Nomina	proper
mori	wilayah:kecamatan	Nomina	
morowali	wilayah:kabupaten-kota	Nomina	proper
motor	organisasi:perusahaan	Nomina	
moyudan	wilayah:kecamatan	Nomina	locus
muamalat	organisasi:perusahaan	Nomina	
muara	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
mubarak	orang:nama-depan,orang:nama-keluarga	Adjektiva	
muda	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
mudik	wilayah:kecamatan	Verba	
muhammad	orang:nama-depan,orang:nama-keluarga	Nomina	proper
muka	wilayah:kecamatan	Nomina	
mukhlis	orang:nama-depan	Adjektiva	
mukomuko	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
mulia	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
multimedia	organisasi:perusahaan	Nomina	
multipolar	organisasi:perusahaan		
muna	wilayah:kabupaten-kota		
muncang	wilayah:kecamatan	Nomina	
muncul	organisasi:perusahaan	Verba	
mundu	wilayah:kecamatan		
murad	orang:nama-depan,orang:nama-keluarga	Nomina	
murid	orang:nama-keluarga	Nomina	
murni	organisasi:perusahaan	Adjektiva	
murung	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
musi	wilayah:kabupaten-kota,wilayah:kecamatan		
musik	organisasi:perusahaan		
musim	organisasi:perusahaan	Nomina	
muslim	orang:nama-depan,orang:nama-keluarga	Nomina	
mustika	organisasi:perusahaan		
mutiara	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
nabati	organisasi:perusahaan	Adjektiva	
nabire	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
nada	orang:nama-depan	Nomina	
naga	wilayah:kecamatan	Nomina	
nagari	organisasi:perusahaan,wilayah:kecamatan		
nagekeo	wilayah:kabupaten-kota	Nomina	proper
nan	wilayah:kecamatan	Partikel	
nanda	orang:nama-depan,orang:nama-keluarga		
napal	wilayah:kecamatan	Nomina	
nara	orang:nama-depan,wilayah:kecamatan	Nomina	
nasal	wilayah:kecamatan	Adjektiva	
nasional	organisasi:perusahaan	Adjektiva	
natal	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
natar	wilayah:kecamatan	Nomina	
natuna	wilayah:kabupaten-kota	Nomina	locus
natura	organisasi:perusahaan	Nomina	
natural	organisasi:perusahaan	Adjektiva	
nau	wilayah:kecamatan		
nayaka	orang:nama-depan		
nazar	orang:nama-keluarga	Nomina	
nazir	orang:nama-keluarga	Nomina	
nduga	wilayah:kabupaten-kota	Nomina	proper
negara	orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
negeri	wilayah:kecamatan	Nomina	
nestor	orang:nama-depan	Nomina	
net	organisasi:perusahaan	Nomina	
ngada	wilayah:kabupaten-kota	Nomina	proper
ngaglik	wilayah:kecamatan	Nomina	locus
ngaliyan	wilayah:kecamatan	Nomina	proper
ngampilan	wilayah:kecamatan	Nomina	locus
nganjuk	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
ngawi	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
ngemplak	wilayah:kecamatan	Nomina	locus
nia	orang:nama-depan	Nomina	
niaga	organisasi:perusahaan	Nomina	
nias	wilayah:kabupaten-kota	Nomina	proper
nibung	wilayah:kecamatan	Nomina	
nikel	organisasi:perusahaan	Nomina	
nila	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Nomina	
nini	orang:nama-depan	Nomina	
ninik	orang:nama-depan	Nomina	
nipah	wilayah:kecamatan	Nomina	
nipis	wilayah:kecamatan	Nomina	
niru	wilayah:kecamatan		
noa	orang:nama-depan	Nomina	
non	orang:nama-depan	Nomina	
nona	orang:nama-depan	Nomina	
nonong	orang:nama-depan	Adjektiva	
norma	orang:nama-depan	Nomina	
nova	orang:nama-depan,orang:nama-keluarga	Nomina	
novel	orang:nama-keluarga	Nomina	
nuansa	organisasi:perusahaan	Nomina	
nugraha	orang:nama-depan,orang:nama-keluarga	Nomina	
nunukan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
nur	orang:nama-depan,orang:nama-keluarga	Nomina	
nurani	orang:nama-depan	Adjektiva	
nuri	orang:nama-depan	Nomina	
nusantara	organisasi:perusahaan	Nomina	
nyak	orang:nama-depan	Nomina	
nyoman	orang:nama-depan	Nomina	
nyonya	organisasi:perusahaan	Nomina	
obi	wilayah:kecamatan	Nomina	
oke	organisasi:perusahaan	Partikel	
olah	organisasi:perusahaan	Nomina	
omega	organisasi:perusahaan	Nomina	
ong	orang:nama-keluarga	Partikel	
optik	organisasi:perusahaan	Adjektiva	
orang	organisasi:perusahaan	Nomina	
organon	organisasi:perusahaan	Nomina	
oto	organisasi:perusahaan	Nomina	
pabean	wilayah:kecamatan	Nomina	
pabelan	wilayah:kecamatan	Nomina	proper
pabrik	organisasi:perusahaan	Nomina	
pacar	wilayah:kecamatan	Nomina	abstract
pace	orang:nama-keluarga,wilayah:kecamatan	Nomina	
pacet	wilayah:kecamatan	Nomina	
pacitan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
padang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
padangsidimpuan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
padas	wilayah:kecamatan	Nomina	
padi	organisasi:perusahaan	Nomina	
paes	orang:nama-keluarga	Verba	
pagar	wilayah:kabupaten-kota,wilayah:kecamatan		
pagelaran	wilayah:kecamatan	Nomina	
pagu	wilayah:kecamatan	Nomina	
pah	wilayah:kecamatan		
pahala	orang:nama-depan,organisasi:perusahaan	Nomina	
pahar	wilayah:kecamatan	Nomina	
pahlawan	wilayah:kecamatan	Nomina	
pajangan	wilayah:kecamatan	Nomina	
pakal	wilayah:kecamatan	Nomina	
pakem	wilayah:kecamatan	Adjektiva	
pakis	wilayah:kecamatan	Nomina	
paksi	organisasi:perusahaan	Nomina	
paku	orang:nama-keluarga,wilayah:kecamatan	Nomina	
pakualaman	wilayah:kecamatan	Nomina	proper
pal	organisasi:perusahaan,wilayah:kecamatan	Nomina	
pala	orang:nama-keluarga		
palang	wilayah:kecamatan		
palangka	wilayah:kabupaten-kota	Nomina	proper
palapa	organisasi:perusahaan	Nomina	
palar	orang:nama-keluarga	Verba	
palas	wilayah:kecamatan	Nomina	
palembang	wilayah:kabupaten-kota	Nomina	proper
palma	organisasi:perusahaan		
palolo	wilayah:kecamatan		
palopo	wilayah:kabupaten-kota	Nomina	proper
palu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pamekasan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pamungkas	orang:nama-keluarga	Nomina	
pan	orang:nama-keluarga,organisasi:perusahaan	Nomina	
pana	wilayah:kecamatan	Verba	
panai	wilayah:kecamatan	Nomina	
pancaran	organisasi:perusahaan		
pancoran	wilayah:kecamatan	Nomina	proper
pancung	wilayah:kecamatan	Nomina	
pancur	wilayah:kecamatan	Verba	
pandak	wilayah:kecamatan	Adjektiva	
pandan	wilayah:kecamatan	Nomina	
pandang	wilayah:kecamatan	Nomina	
pandeglang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pandu	orang:nama-keluarga	Nomina	
pangandaran	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pangeran	orang:nama-depan	Nomina	
pangestu	orang:nama-keluarga	Nomina	
panggang	wilayah:kecamatan	Verba	
panggul	wilayah:kecamatan	Nomina	
panggung	wilayah:kecamatan	Nomina	
pangkah	wilayah:kecamatan	Verba	
pangkal	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pangkalan	wilayah:kecamatan	Nomina	
pangkur	wilayah:kecamatan	Nomina	
paniai	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
panjang	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
panjatan	wilayah:kecamatan	Nomina	
panji	orang:nama-depan,wilayah:kecamatan	Nomina	
panorama	organisasi:perusahaan	Nomina	
pantai	organisasi:perusahaan,wilayah:kecamatan	Nomina	
pantar	wilayah:kecamatan	Nomina	
panti	wilayah:kecamatan	Nomina	
papar	wilayah:kecamatan	Adjektiva	
parabola	organisasi:perusahaan	Nomina	
paragon	organisasi:perusahaan	Nomina	
parang	wilayah:kecamatan	Nomina	
pare	wilayah:kecamatan	Nomina	
parepare	wilayah:kabupaten-kota	Nomina	proper
pari	organisasi:perusahaan	Nomina	
pariaman	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
parik	wilayah:kecamatan		
paris	orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
parkir	organisasi:perusahaan	Verba	
paro	wilayah:kecamatan		
paron	wilayah:kecamatan	Nomina	
pasak	wilayah:kecamatan	Nomina	
pasaman	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pasangkayu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pasar	wilayah:kecamatan	Nomina	
paser	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pasi	wilayah:kecamatan		
pasir	wilayah:kecamatan	Nomina	
pasuruan	wilayah:kabupaten-kota	Nomina	locus
patah	orang:nama-depan	Adjektiva	
pati	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
patuk	wilayah:kecamatan	Nomina	
pauh	wilayah:kecamatan	Nomina	
paul	orang:nama-depan	Adjektiva	
paya	wilayah:kecamatan	Nomina	
payakumbuh	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
payang	wilayah:kecamatan	Nomina	
payung	wilayah:kecamatan	Nomina	
pedamaran	wilayah:kecamatan	Nomina	
pedurungan	wilayah:kecamatan	Nomina	proper
pegadaian	organisasi:perusahaan	Nomina	
pegunungan	wilayah:kabupaten-kota,wilayah:provinsi	Nomina	
pek	orang:nama-depan	Nomina	
pekalongan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pekanbaru	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pekat	wilayah:kecamatan	Adjektiva	
pelabuhan	organisasi:perusahaan		
pelalawan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pelangi	organisasi:perusahaan	Nomina	
pelat	organisasi:perusahaan	Nomina	
pelawan	wilayah:kecamatan	Nomina	
pelayaran	organisasi:perusahaan	Nomina	
pelindung	wilayah:kecamatan	Nomina	
pelita	organisasi:perusahaan	Nomina	
pemalang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pemali	wilayah:kecamatan		
pematang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pembangunan	organisasi:perusahaan		
pembarap	wilayah:kecamatan	Nomina	
pembayaran	organisasi:perusahaan	Nomina	
pembiayaan	organisasi:perusahaan	Nomina	
pemenang	wilayah:kecamatan	Nomina	
pemuda	organisasi:perusahaan	Nomina	
pemuka	wilayah:kecamatan		
pemula	organisasi:perusahaan	Nomina	
penanggalan	wilayah:kecamatan	Nomina	
penarik	wilayah:kecamatan	Nomina	
penawar	wilayah:kecamatan	Nomina	
pendidikan	organisasi:perusahaan	Nomina	
pendopo	wilayah:kecamatan	Nomina	
penerbit	organisasi:perusahaan	Nomina	
pengabuan	wilayah:kecamatan	Nomina	
pengadaan	organisasi:perusahaan	Nomina	
pengadang	wilayah:kecamatan	Nomina	
pengasih	wilayah:kecamatan	Nomina	
pengelola	organisasi:perusahaan	Nomina	
penggawa	wilayah:kecamatan	Nomina	
peni	orang:nama-depan	Adjektiva	
peninjauan	wilayah:kecamatan	Nomina	
penuh	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
penyu	wilayah:kecamatan	Nomina	
perak	organisasi:perusahaan,wilayah:kecamatan	Nomina	
perdagangan	organisasi:perusahaan	Nomina	
perdana	organisasi:perusahaan	Nomina	
pere	orang:nama-depan	Adjektiva	
perhentian	wilayah:kecamatan	Nomina	
perintis	organisasi:perusahaan	Nomina	
periuk	wilayah:kecamatan	Nomina	
perjuangan	wilayah:kecamatan	Nomina	
perkapalan	organisasi:perusahaan	Nomina	
perkasa	orang:nama-keluarga,organisasi:perusahaan	Adjektiva	
perkebunan	organisasi:perusahaan	Nomina	
permai	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	redup
permana	orang:nama-keluarga	Nomina	
permata	orang:nama-keluarga,wilayah:kecamatan	Nomina	
permodalan	organisasi:perusahaan	Nomina	
persada	organisasi:perusahaan	Nomina	
personel	organisasi:perusahaan	Nomina	
pertama	organisasi:perusahaan		
pertiwi	orang:nama-keluarga,organisasi:perusahaan		
perum	organisasi:perusahaan	Nomina	
perusahaan	organisasi:perusahaan	Nomina	
pesak	wilayah:kecamatan	Nomina	
pesam	wilayah:kecamatan	Adjektiva	
pesanggrahan	wilayah:kecamatan	Nomina	
pesantren	wilayah:kecamatan	Nomina	
pesawaran	wilayah:kabupaten-kota	Nomina	proper
pesisir	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
petak	wilayah:kecamatan	Nomina	
petamburan	wilayah:kecamatan	Nomina	proper
petang	wilayah:kecamatan	Nomina	
petir	wilayah:kecamatan	Nomina	
petrokimia	organisasi:perusahaan	Nomina	
picung	wilayah:kecamatan	Nomina	
pidada	wilayah:kecamatan		
pidie	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pilang	wilayah:kecamatan	Nomina	
pilar	organisasi:perusahaan	Nomina	
pinang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pinggir	wilayah:kecamatan	Nomina	
pinrang	wilayah:kabupaten-kota	Nomina	proper
pintu	wilayah:kecamatan	Nomina	
pisang	wilayah:kecamatan	Nomina	
pisau	wilayah:kabupaten-kota	Nomina	
piyungan	wilayah:kecamatan	Nomina	proper
plakat	wilayah:kecamatan	Nomina	
planet	organisasi:perusahaan	Nomina	
plaza	organisasi:perusahaan	Nomina	
pleret	wilayah:kecamatan	Nomina	proper
plus	organisasi:perusahaan	Adjektiva	
pohuwato	wilayah:kabupaten-kota	Nomina	proper
polaris	organisasi:perusahaan	Nomina	
polen	wilayah:kecamatan	Nomina	
pondasi	organisasi:perusahaan		
pondok	wilayah:kecamatan	Nomina	
ponggok	wilayah:kecamatan	Adjektiva	
ponorogo	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pontianak	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
poo	orang:nama-depan	Nomina	
pop	organisasi:perusahaan	Adjektiva	
porong	wilayah:kecamatan	Nomina	
pos	organisasi:perusahaan	Nomina	
poso	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
prabowo	orang:nama-depan	Proper Nama	proper
prabu	organisasi:perusahaan	Nomina	
prabumulih	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
prakarsa	organisasi:perusahaan	Nomina	
prambanan	wilayah:kecamatan	Nomina	locus
pranata	orang:nama-keluarga		
prapatan	wilayah:kecamatan	Nomina	
premium	organisasi:perusahaan	Nomina	
presisi	organisasi:perusahaan	Nomina	
pribadi	orang:nama-keluarga	Nomina	
prima	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan		
pringapus	wilayah:kecamatan	Nomina	proper
pringsewu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
probolinggo	wilayah:kabupaten-kota	Nomina	locus
produksi	organisasi:perusahaan	Nomina	
profesional	organisasi:perusahaan	Adjektiva	
properti	organisasi:perusahaan	Nomina	
pucuk	organisasi:perusahaan,wilayah:kecamatan	Nomina	
puding	wilayah:kecamatan	Nomina	
puji	orang:nama-depan	Nomina	
pujut	wilayah:kecamatan	Verba	
pulang	wilayah:kabupaten-kota	Verba	
pulau	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pulo	wilayah:kecamatan	Nomina	proper
pulp	organisasi:perusahaan	Nomina	
puluh	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pulung	orang:nama-depan,wilayah:kecamatan	Nomina	
puncak	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
pundong	wilayah:kecamatan	Nomina	proper
punduh	wilayah:kecamatan		
punggur	wilayah:kecamatan		
punjung	wilayah:kecamatan	Nomina	
pupuan	wilayah:kecamatan	Nomina	
pupuk	organisasi:perusahaan		
pura	organisasi:perusahaan,wilayah:kecamatan	Nomina	
purba	orang:nama-keluarga,wilayah:kecamatan		
purbalingga	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
puri	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
puring	wilayah:kecamatan	Nomina	
purnama	orang:nama-depan,orang:nama-keluarga	Adjektiva	
purwa	organisasi:perusahaan	Adjektiva	
purwakarta	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
purworejo	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
pusaka	organisasi:perusahaan,wilayah:kecamatan	Nomina	
pusat	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
puspa	orang:nama-depan	Nomina	
puspita	orang:nama-depan		
puti	orang:nama-depan	Nomina	
putih	wilayah:kecamatan	Nomina	
putra	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
putri	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan		
putu	orang:nama-depan	Nomina	
puyu	wilayah:kecamatan	Nomina	
puyuh	wilayah:kecamatan	Nomina	
raba	wilayah:kecamatan	Verba	
radar	organisasi:perusahaan		
raden	orang:nama-depan	Nomina	
radin	orang:nama-depan	Nomina	
radio	organisasi:perusahaan	Nomina	
