token	kelas	kbbi_pos	kbbi_semantic_class
barong	wilayah:kecamatan	Nomina	
barru	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
baru	orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
basa	wilayah:kecamatan	Partikel	
basir	orang:nama-depan	Adjektiva	
baso	wilayah:kecamatan		
basung	wilayah:kecamatan	Nomina	
bata	organisasi:perusahaan,wilayah:kecamatan	Nomina	
batam	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
batang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
batangan	wilayah:kecamatan	Adjektiva	
batanghari	wilayah:kecamatan	Nomina	proper
batari	orang:nama-keluarga	Nomina	
bati	wilayah:kecamatan	Adjektiva	
batik	organisasi:perusahaan,wilayah:kecamatan	Nomina	
batin	wilayah:kecamatan	Nomina	
batu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
batuan	wilayah:kecamatan	Nomina	
batung	wilayah:kecamatan		
bau	wilayah:kabupaten-kota	Nomina	
baun	orang:nama-keluarga,wilayah:kecamatan	Nomina	
bawah	wilayah:kecamatan	Nomina	
bawang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bawen	wilayah:kecamatan	Nomina	proper
baya	wilayah:kecamatan	Nomina	
bayan	organisasi:perusahaan,wilayah:kecamatan	Nomina	
bayang	wilayah:kecamatan	Nomina	
bayat	wilayah:kecamatan		
bayu	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
bayung	wilayah:kecamatan	Nomina	
bayur	wilayah:kecamatan	Nomina	
beber	wilayah:kecamatan	Verba	
beduk	wilayah:kecamatan	Nomina	
bekasi	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
belakang	wilayah:kecamatan		
belang	wilayah:kecamatan	Nomina	
belas	organisasi:perusahaan,wilayah:kecamatan	Nomina	
belat	wilayah:kecamatan	Nomina	
belawan	wilayah:kecamatan	Nomina	
belengkong	wilayah:kecamatan	Adjektiva	
belida	wilayah:kecamatan	Nomina	
belik	wilayah:kecamatan	Nomina	
belimbing	wilayah:kecamatan	Adjektiva	
belitung	wilayah:kabupaten-kota,wilayah:provinsi	Nomina	
belo	wilayah:kecamatan	Nomina	
belu	wilayah:kabupaten-kota,wilayah:kecamatan	Verba	
benda	wilayah:kecamatan	Nomina	
bendahara	wilayah:kecamatan	Nomina	
bendo	wilayah:kecamatan	Nomina	
bendungan	wilayah:kecamatan	Nomina	
bengkal	wilayah:kecamatan	Verba	
bengkalis	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bengkayang	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
bengkong	wilayah:kecamatan	Adjektiva	
bengkulu	wilayah:kabupaten-kota,wilayah:provinsi	Nomina	proper
beni	orang:nama-depan	Nomina	
bening	orang:nama-depan	Adjektiva	
benteng	wilayah:kecamatan	Nomina	
benua	wilayah:kecamatan	Nomina	
beo	wilayah:kecamatan	Nomina	
berau	organisasi:perusahaan,wilayah:kabupaten-kota	Nomina	proper
berbah	wilayah:kecamatan	Nomina	locus
berdikari	organisasi:perusahaan	Verba	
beremas	wilayah:kecamatan	Verba	
bergas	wilayah:kecamatan	Adjektiva	
beringin	wilayah:kecamatan	Nomina	
berita	organisasi:perusahaan		
berjangka	organisasi:perusahaan	Verba	
berjaya	organisasi:perusahaan	Verba	
berkah	organisasi:perusahaan	Nomina	
berlian	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan	Nomina	
bersama	organisasi:perusahaan	Verba	
bersaudara	organisasi:perusahaan	Verba	
beruntung	wilayah:kecamatan		
besar	orang:nama-depan,wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
besi	wilayah:kecamatan	Nomina	
bestari	wilayah:kecamatan	Adjektiva	
besuk	wilayah:kecamatan	Verba	
betara	wilayah:kecamatan	Nomina	
beton	organisasi:perusahaan	Nomina	
betung	wilayah:kecamatan	Nomina	
biak	wilayah:kabupaten-kota,wilayah:kecamatan	Verba	
biau	wilayah:kecamatan	Verba	
bibit	organisasi:perusahaan	Nomina	
bidari	wilayah:kecamatan	Nomina	
biduk	wilayah:kecamatan	Nomina	
bika	wilayah:kecamatan		
bilah	wilayah:kecamatan	Nomina	
bima	organisasi:perusahaan,wilayah:kabupaten-kota	Nomina	proper
bina	organisasi:perusahaan,wilayah:kecamatan	Verba	
binar	orang:nama-depan	Nomina	
binjai	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bintan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bintang	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bioskop	organisasi:perusahaan	Nomina	
bireuen	wilayah:kabupaten-kota	Nomina	proper
biru	organisasi:perusahaan,wilayah:kecamatan	Nomina	
bitung	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
blitar	wilayah:kabupaten-kota	Nomina	proper
blora	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
boalemo	wilayah:kabupaten-kota	Nomina	proper
bodhi	orang:nama-depan	Nomina	
boga	organisasi:perusahaan	Nomina	
bogor	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bojonegoro	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bola	wilayah:kecamatan	Nomina	
bolak	wilayah:kecamatan	Adjektiva	
bombana	wilayah:kabupaten-kota	Nomina	proper
bonang	wilayah:kecamatan		
bondowoso	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bone	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bonjol	wilayah:kecamatan		
bontang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bonto	wilayah:kecamatan	Adjektiva	
borang	wilayah:kecamatan	Nomina	
borong	wilayah:kecamatan	Verba	
boyolali	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
brata	organisasi:perusahaan	Nomina	
brebes	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
bringin	wilayah:kecamatan	Nomina	proper
bros	organisasi:perusahaan	Nomina	
buana	organisasi:perusahaan,wilayah:kecamatan	Nomina	
buaya	wilayah:kecamatan	Nomina	
bubutan	wilayah:kecamatan	Nomina	
budi	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan	Nomina	
budiman	orang:nama-keluarga	Nomina	
bujang	wilayah:kecamatan	Nomina	
buk	wilayah:kecamatan	Nomina	
buka	organisasi:perusahaan	Verba	
bukit	orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
bukittinggi	wilayah:kabupaten-kota	Nomina	proper
bulak	wilayah:kecamatan	Nomina	
bulan	wilayah:kecamatan	Nomina	
bulang	wilayah:kecamatan	Nomina	
buleleng	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bulian	wilayah:kecamatan	Nomina	
bulu	wilayah:kecamatan	Nomina	
bulukumba	wilayah:kabupaten-kota	Nomina	proper
bulungan	wilayah:kabupaten-kota	Nomina	proper
bumbu	wilayah:kabupaten-kota		
bumi	organisasi:perusahaan,wilayah:kecamatan		
bunga	orang:nama-depan,wilayah:kecamatan	Nomina	
bungkal	wilayah:kecamatan	Nomina	
bungo	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bungur	wilayah:kecamatan	Nomina	
buntu	wilayah:kecamatan	Verba	
